"County, State",POP010210D,LND110210D,People_Per_Square_Mile
District of Columbia,"601,723 ",61.05 ,"9,856.23 "
"Autauga County, Alabama","54,571 ",594.44 ,91.80 
"Baldwin County, Alabama","182,265 ","1,589.78 ",114.65 
"Barbour County, Alabama","27,457 ",884.88 ,31.03 
"Bibb County, Alabama","22,915 ",622.58 ,36.81 
"Blount County, Alabama","57,322 ",644.78 ,88.90 
"Bullock County, Alabama","10,914 ",622.81 ,17.52 
"Butler County, Alabama","20,947 ",776.83 ,26.96 
"Calhoun County, Alabama","118,572 ",605.87 ,195.71 
"Chambers County, Alabama","34,215 ",596.53 ,57.36 
"Cherokee County, Alabama","25,989 ",553.70 ,46.94 
"Chilton County, Alabama","43,643 ",692.85 ,62.99 
"Choctaw County, Alabama","13,859 ",913.50 ,15.17 
"Clarke County, Alabama","25,833 ","1,238.47 ",20.86 
"Clay County, Alabama","13,932 ",603.96 ,23.07 
"Cleburne County, Alabama","14,972 ",560.10 ,26.73 
"Coffee County, Alabama","49,948 ",678.97 ,73.56 
"Colbert County, Alabama","54,428 ",592.62 ,91.84 
"Conecuh County, Alabama","13,228 ",850.16 ,15.56 
"Coosa County, Alabama","11,539 ",650.93 ,17.73 
"Covington County, Alabama","37,765 ","1,030.46 ",36.65 
"Crenshaw County, Alabama","13,906 ",608.84 ,22.84 
"Cullman County, Alabama","80,406 ",734.84 ,109.42 
"Dale County, Alabama","50,251 ",561.15 ,89.55 
"Dallas County, Alabama","43,820 ",978.70 ,44.77 
"DeKalb County, Alabama","71,109 ",777.09 ,91.51 
"Elmore County, Alabama","79,303 ",618.49 ,128.22 
"Escambia County, Alabama","38,319 ",945.08 ,40.55 
"Etowah County, Alabama","104,430 ",534.99 ,195.20 
"Fayette County, Alabama","17,241 ",627.66 ,27.47 
"Franklin County, Alabama","31,704 ",633.82 ,50.02 
"Geneva County, Alabama","26,790 ",574.41 ,46.64 
"Greene County, Alabama","9,045 ",647.11 ,13.98 
"Hale County, Alabama","15,760 ",643.94 ,24.47 
"Henry County, Alabama","17,302 ",561.75 ,30.80 
"Houston County, Alabama","101,547 ",579.82 ,175.14 
"Jackson County, Alabama","53,227 ","1,077.87 ",49.38 
"Jefferson County, Alabama","658,466 ","1,111.28 ",592.53 
"Lamar County, Alabama","14,564 ",604.85 ,24.08 
"Lauderdale County, Alabama","92,709 ",667.70 ,138.85 
"Lawrence County, Alabama","34,339 ",690.68 ,49.72 
"Lee County, Alabama","140,247 ",607.54 ,230.84 
"Limestone County, Alabama","82,782 ",559.94 ,147.84 
"Lowndes County, Alabama","11,299 ",715.91 ,15.78 
"Macon County, Alabama","21,452 ",608.89 ,35.23 
"Madison County, Alabama","334,811 ",801.59 ,417.68 
"Marengo County, Alabama","21,027 ",976.88 ,21.52 
"Marion County, Alabama","30,776 ",742.29 ,41.46 
"Marshall County, Alabama","93,019 ",565.84 ,164.39 
"Mobile County, Alabama","412,992 ","1,229.44 ",335.92 
"Monroe County, Alabama","23,068 ","1,025.68 ",22.49 
"Montgomery County, Alabama","229,363 ",784.25 ,292.46 
"Morgan County, Alabama","119,490 ",579.34 ,206.25 
"Perry County, Alabama","10,591 ",719.66 ,14.72 
"Pickens County, Alabama","19,746 ",881.41 ,22.40 
"Pike County, Alabama","32,899 ",672.09 ,48.95 
"Randolph County, Alabama","22,913 ",580.55 ,39.47 
"Russell County, Alabama","52,947 ",641.14 ,82.58 
"St. Clair County, Alabama","83,593 ",631.90 ,132.29 
"Shelby County, Alabama","195,085 ",784.93 ,248.54 
"Sumter County, Alabama","13,763 ",903.89 ,15.23 
"Talladega County, Alabama","82,291 ",736.78 ,111.69 
"Tallapoosa County, Alabama","41,616 ",716.52 ,58.08 
"Tuscaloosa County, Alabama","194,656 ","1,321.76 ",147.27 
"Walker County, Alabama","67,023 ",791.19 ,84.71 
"Washington County, Alabama","17,581 ","1,080.21 ",16.28 
"Wilcox County, Alabama","11,670 ",888.50 ,13.13 
"Winston County, Alabama","24,484 ",612.98 ,39.94 
"Aleutians East Borough, Alaska","3,141 ","6,981.94 ",0.45 
"Aleutians West Census Area, Alaska","5,561 ","4,390.28 ",1.27 
"Anchorage Municipality, Alaska","291,826 ","1,704.68 ",171.19 
"Bethel Census Area, Alaska","17,013 ","40,570.00 ",0.42 
"Bristol Bay Borough, Alaska",997 ,503.84 ,1.98 
"Denali Borough, Alaska","1,826 ","12,751.41 ",0.14 
"Dillingham Census Area, Alaska","4,847 ","18,568.78 ",0.26 
"Fairbanks North Star Borough, Alaska","97,581 ","7,338.21 ",13.30 
"Haines Borough, Alaska","2,508 ","2,318.60 ",1.08 
"Hoonah-Angoon Census Area, Alaska","2,150 ","7,524.92 ",0.29 
"Juneau City and Borough, Alaska","31,275 ","2,701.93 ",11.58 
"Kenai Peninsula Borough, Alaska","55,400 ","16,075.33 ",3.45 
"Ketchikan Gateway Borough, Alaska","13,477 ","4,858.41 ",2.77 
"Kodiak Island Borough, Alaska","13,592 ","6,549.58 ",2.08 
"Lake and Peninsula Borough, Alaska","1,631 ","23,652.01 ",0.07 
"Matanuska-Susitna Borough, Alaska","88,995 ","24,607.90 ",3.62 
"Nome Census Area, Alaska","9,492 ","22,961.76 ",0.41 
"North Slope Borough, Alaska","9,430 ","88,695.41 ",0.11 
"Northwest Arctic Borough, Alaska","7,523 ","35,572.58 ",0.21 
"Petersburg Borough, Alaska","3,815 ","3,281.98 ",1.16 
"Prince of Wales-Hyder Census Area, Alaska","5,559 ","3,922.87 ",1.42 
"Sitka City and Borough, Alaska","8,881 ","2,870.34 ",3.09 
"Skagway Municipality, Alaska",968 ,452.33 ,2.14 
"Southeast Fairbanks Census Area, Alaska","7,029 ","24,768.81 ",0.28 
"Valdez-Cordova Census Area, Alaska","9,636 ","34,239.88 ",0.28 
"Wade Hampton Census Area, Alaska","7,459 ","17,081.43 ",0.44 
"Wrangell City and Borough, Alaska","2,369 ","2,541.48 ",0.93 
"Yakutat City and Borough, Alaska",662 ,"7,649.46 ",0.09 
"Yukon-Koyukuk Census Area, Alaska","5,588 ","145,504.79 ",0.04 
"Apache County, Arizona","71,518 ","11,197.52 ",6.39 
"Cochise County, Arizona","131,346 ","6,165.69 ",21.30 
"Coconino County, Arizona","134,421 ","18,618.89 ",7.22 
"Gila County, Arizona","53,597 ","4,757.93 ",11.26 
"Graham County, Arizona","37,220 ","4,622.60 ",8.05 
"Greenlee County, Arizona","8,437 ","1,843.13 ",4.58 
"La Paz County, Arizona","20,489 ","4,499.63 ",4.55 
"Maricopa County, Arizona","3,817,117 ","9,200.14 ",414.90 
"Mohave County, Arizona","200,186 ","13,311.08 ",15.04 
"Navajo County, Arizona","107,449 ","9,950.42 ",10.80 
"Pima County, Arizona","980,263 ","9,187.04 ",106.70 
"Pinal County, Arizona","375,770 ","5,365.61 ",70.03 
"Santa Cruz County, Arizona","47,420 ","1,236.92 ",38.34 
"Yavapai County, Arizona","211,033 ","8,123.50 ",25.98 
"Yuma County, Arizona","195,751 ","5,513.99 ",35.50 
"Arkansas County, Arkansas","19,019 ",988.77 ,19.24 
"Ashley County, Arkansas","21,853 ",925.35 ,23.62 
"Baxter County, Arkansas","41,513 ",554.28 ,74.90 
"Benton County, Arkansas","221,339 ",847.36 ,261.21 
"Boone County, Arkansas","36,903 ",590.23 ,62.52 
"Bradley County, Arkansas","11,508 ",649.23 ,17.73 
"Calhoun County, Arkansas","5,368 ",628.58 ,8.54 
"Carroll County, Arkansas","27,446 ",630.09 ,43.56 
"Chicot County, Arkansas","11,800 ",644.30 ,18.31 
"Clark County, Arkansas","22,995 ",866.07 ,26.55 
"Clay County, Arkansas","16,083 ",639.47 ,25.15 
"Cleburne County, Arkansas","25,970 ",553.69 ,46.90 
"Cleveland County, Arkansas","8,689 ",597.78 ,14.54 
"Columbia County, Arkansas","24,552 ",766.05 ,32.05 
"Conway County, Arkansas","21,273 ",552.25 ,38.52 
"Craighead County, Arkansas","96,443 ",707.21 ,136.37 
