,zip,state,county,State Name,"County, State"
0,99553,AK,Aleutians East Borough,Alaska,"Aleutians East Borough, Alaska"
1,99571,AK,Aleutians East Borough,Alaska,"Aleutians East Borough, Alaska"
2,99583,AK,Aleutians East Borough,Alaska,"Aleutians East Borough, Alaska"
3,99612,AK,Aleutians East Borough,Alaska,"Aleutians East Borough, Alaska"
4,99661,AK,Aleutians East Borough,Alaska,"Aleutians East Borough, Alaska"
5,99546,AK,Aleutians West Census Area,Alaska,"Aleutians West Census Area, Alaska"
6,99547,AK,Aleutians West Census Area,Alaska,"Aleutians West Census Area, Alaska"
7,99591,AK,Aleutians West Census Area,Alaska,"Aleutians West Census Area, Alaska"
8,99638,AK,Aleutians West Census Area,Alaska,"Aleutians West Census Area, Alaska"
9,99660,AK,Aleutians West Census Area,Alaska,"Aleutians West Census Area, Alaska"
10,99685,AK,Aleutians West Census Area,Alaska,"Aleutians West Census Area, Alaska"
11,99692,AK,Aleutians West Census Area,Alaska,"Aleutians West Census Area, Alaska"
12,99501,AK,Anchorage Municipality,Alaska,"Anchorage Municipality, Alaska"
13,99502,AK,Anchorage Municipality,Alaska,"Anchorage Municipality, Alaska"
14,99503,AK,Anchorage Municipality,Alaska,"Anchorage Municipality, Alaska"
15,99504,AK,Anchorage Municipality,Alaska,"Anchorage Municipality, Alaska"
16,99505,AK,Anchorage Municipality,Alaska,"Anchorage Municipality, Alaska"
17,99506,AK,Anchorage Municipality,Alaska,"Anchorage Municipality, Alaska"
18,99507,AK,Anchorage Municipality,Alaska,"Anchorage Municipality, Alaska"
19,99508,AK,Anchorage Municipality,Alaska,"Anchorage Municipality, Alaska"
20,99513,AK,Anchorage Municipality,Alaska,"Anchorage Municipality, Alaska"
21,99515,AK,Anchorage Municipality,Alaska,"Anchorage Municipality, Alaska"
22,99516,AK,Anchorage Municipality,Alaska,"Anchorage Municipality, Alaska"
23,99517,AK,Anchorage Municipality,Alaska,"Anchorage Municipality, Alaska"
24,99518,AK,Anchorage Municipality,Alaska,"Anchorage Municipality, Alaska"
25,99540,AK,Anchorage Municipality,Alaska,"Anchorage Municipality, Alaska"
26,99567,AK,Anchorage Municipality,Alaska,"Anchorage Municipality, Alaska"
27,99577,AK,Anchorage Municipality,Alaska,"Anchorage Municipality, Alaska"
