"state_from","county_from","state_to","county_to","in","out","change"
1,1,1,3,0,90,-90
1,1,1,21,203,278,-75
1,1,1,47,212,89,123
1,1,1,51,1426,1388,38
1,1,1,73,106,129,-23
1,1,1,81,72,120,-48
1,1,1,85,72,0,72
1,1,1,101,1214,915,299
1,1,1,117,70,114,-44
1,1,1,125,0,51,-51
1,3,1,1,90,0,90
1,3,1,15,91,0,91
1,3,1,25,86,0,86
1,3,1,51,111,67,44
1,3,1,53,300,250,50
1,3,1,55,75,0,75
1,3,1,69,97,57,40
1,3,1,73,542,317,225
1,3,1,77,74,0,74
1,3,1,81,221,145,76
1,3,1,89,164,106,58
1,3,1,97,3008,2031,977
1,3,1,99,106,82,24
1,3,1,101,164,106,58
1,3,1,115,76,0,76
1,3,1,117,295,191,104
1,3,1,121,56,0,56
1,3,1,125,225,98,127
1,3,1,127,69,0,69
1,3,1,129,64,0,64
1,3,4,13,77,0,77
1,3,6,37,71,0,71
1,3,6,73,100,62,38
1,3,12,5,98,56,42
1,3,12,11,75,0,75
1,3,12,31,109,69,40
1,3,12,33,1091,927,164
1,3,12,57,0,96,-96
1,3,12,91,125,143,-18
1,3,12,95,58,103,-45
1,3,12,103,52,0,52
1,3,12,113,230,231,-1
1,3,12,131,77,60,17
1,3,13,67,128,0,128
1,3,13,89,66,52,14
1,3,13,121,73,59,14
1,3,13,135,62,0,62
1,3,22,33,71,0,71
1,3,22,55,62,0,62
1,3,22,71,0,52,-52
1,3,22,103,77,54,23
1,3,28,47,104,106,-2
1,3,28,59,127,115,12
1,3,28,75,57,0,57
1,3,47,37,99,0,99
1,3,47,157,165,0,165
1,3,48,29,62,0,62
1,3,48,113,65,68,-3
1,3,48,201,110,101,9
1,3,48,439,82,0,82
1,5,1,11,0,64,-64
1,5,1,45,110,129,-19
1,5,1,67,81,124,-43
1,5,1,69,97,184,-87
1,5,1,81,0,76,-76
1,5,1,109,61,62,-1
1,5,13,239,101,0,101
1,7,1,21,100,114,-14
1,7,1,73,249,251,-2
1,7,1,117,168,229,-61
1,7,1,125,356,421,-65
1,9,1,43,297,437,-140
1,9,1,55,151,215,-64
1,9,1,73,1507,1087,420
1,9,1,95,284,328,-44
1,9,1,103,0,81,-81
1,9,1,115,263,279,-16
1,9,1,117,128,100,28
1,9,1,127,72,86,-14
1,11,1,5,64,0,64
1,11,1,101,119,117,2
1,11,1,109,86,82,4
1,13,1,41,83,91,-8
1,13,1,85,112,81,31
1,13,1,101,99,153,-54
1,15,1,3,0,91,-91
1,15,1,19,183,134,49
1,15,1,27,105,98,7
1,15,1,29,267,202,65
1,15,1,49,80,0,80
1,15,1,55,536,616,-80
1,15,1,73,233,394,-161
1,15,1,81,57,0,57
1,15,1,89,69,153,-84
1,15,1,95,61,0,61
1,15,1,97,0,60,-60
1,15,1,101,0,54,-54
1,15,1,111,96,102,-6
1,15,1,115,309,285,24
1,15,1,117,111,147,-36
1,15,1,121,1245,1290,-45
1,15,1,125,54,53,1
1,15,13,45,88,101,-13
1,15,13,67,0,63,-63
1,15,13,97,72,0,72
1,17,1,81,830,829,1
1,17,1,111,151,109,42
1,17,1,123,50,62,-12
1,17,13,285,499,396,103
1,19,1,15,134,183,-49
1,19,1,49,215,220,-5
1,19,1,55,192,251,-59
1,19,13,55,82,0,82
1,19,13,115,201,139,62
1,19,13,233,78,0,78
1,21,1,1,278,203,75
1,21,1,7,114,100,14
1,21,1,47,83,57,26
1,21,1,51,106,123,-17
1,21,1,73,253,307,-54
1,21,1,101,84,80,4
1,21,1,117,881,719,162
1,23,28,75,0,87,-87
1,25,1,3,0,86,-86
1,25,1,91,105,87,18
1,25,1,97,137,171,-34
1,25,1,129,161,115,46
1,25,1,131,103,92,11
1,27,1,15,98,105,-7
1,27,1,111,119,138,-19
1,27,1,121,142,144,-2
1,27,1,123,0,81,-81
1,29,1,15,202,267,-65
1,29,1,111,0,122,-122
1,29,1,121,0,74,-74
1,29,13,45,149,134,15
1,29,13,143,99,80,19
1,31,1,39,202,168,34
1,31,1,45,1058,881,177
1,31,1,61,229,297,-68
1,31,1,69,351,346,5
1,31,1,73,0,61,-61
1,31,1,89,0,106,-106
1,31,1,101,85,0,85
1,31,1,109,213,171,42
1,31,8,41,90,118,-28
1,31,12,5,80,66,14
1,31,13,51,73,0,73
1,31,15,3,95,0,95
1,31,36,45,93,77,16
1,31,37,51,66,0,66
1,31,47,125,84,87,-3
1,31,48,27,82,0,82
1,31,48,141,0,76,-76
1,33,1,59,417,321,96
