"state","county","pop"
1,1,59036
1,3,232141
1,5,22593
1,7,20059
1,9,58584
1,11,9188
1,13,20086
1,15,117398
1,17,33699
1,19,24056
1,21,44271
1,23,12925
1,25,25275
1,27,14282
1,29,14714
1,31,51589
1,33,58629
1,35,11622
1,37,9252
1,39,37170
1,41,14260
1,43,87180
1,45,45793
1,47,39092
1,49,71000
1,51,87516
1,53,35525
1,55,105965
1,57,16398
1,59,31724
1,61,25069
1,63,8140
1,65,15530
1,67,17413
1,69,108444
1,71,53321
1,73,705646
1,75,14152
1,77,94621
1,79,34323
1,81,151933
1,83,101661
1,85,11726
1,87,16948
1,89,412330
1,91,20769
1,93,27394
1,95,100615
1,97,425254
1,99,20688
1,101,232800
1,103,130947
1,105,9224
1,107,18924
1,109,29351
1,111,22612
1,113,53039
1,115,92573
1,117,235447
1,119,11528
1,121,79913
1,123,42797
1,125,200704
1,127,64108
1,129,16641
1,131,10832
1,133,22731
2,13,1724
2,16,4562
2,20,332968
2,50,16963
2,60,911
2,68,2477
2,70,5115
2,90,103676
2,100,2713
2,105,2214
2,110,37535
2,122,65732
2,130,15831
2,150,15581
2,158,7458
2,164,1574
2,170,111642
2,180,9077
2,185,7436
2,188,6236
2,195,4270
2,198,5127
2,220,9872
2,230,1496
2,240,8140
2,261,10962
2,275,2387
2,282,511
2,290,5486
4,1,65667
4,3,130074
4,5,136255
4,7,53004
4,9,31582
4,11,8897
4,12,15403
4,13,4645972
4,15,191263
4,17,104240
4,19,1092750
4,21,368668
4,23,56651
4,25,247465
4,27,230776
5,1,18913
5,3,20459
5,5,42610
5,7,293221
5,9,38673
5,11,11106
5,13,4779
5,15,29801
5,17,9584
5,19,19652
5,21,14779
5,23,25587
5,25,7936
5,27,22136
5,29,21008
5,31,105665
5,33,61287
5,35,50930
5,37,17834
5,39,6812
5,41,11947
5,43,17646
5,45,122198
5,47,17073
5,49,11117
5,51,103075
5,53,18602
5,55,43923
5,57,21526
5,59,30717
5,61,13889
5,63,37615
5,65,11802
5,67,13722
5,69,68500
5,71,25489
5,73,6128
5,75,15241
5,77,6838
5,79,9887
5,81,12222
5,83,21209
5,85,75897
5,87,16704
5,89,15488
5,91,41980
5,93,41314
5,95,6908
5,97,7824
5,99,8209
5,101,7282
5,103,23710
5,105,9791
5,107,17260
5,109,10506
5,111,22320
5,113,19272
5,115,63990
5,117,8300
5,119,420407
5,121,17606
5,123,21093
5,125,128261
5,127,10124
5,129,7405
5,131,131190
5,133,16509
5,135,15417
5,137,11731
5,139,43287
5,141,15782
5,143,237659
5,145,76503
5,147,6237
5,149,21098
6,1,1919855
6,3,963
6,5,40345
6,7,222892
6,9,47819
6,11,28249
6,13,1367748
6,15,24185
6,17,219844
6,19,1076084
6,21,32981
6,23,130975
6,25,223163
6,27,19892
6,29,932629
6,31,147959
6,33,60717
6,35,24229
6,37,11475829
6,39,164563
6,41,314360
6,43,17470
6,45,94214
6,47,289020
6,49,8284
6,51,14809
6,53,526437
6,55,169714
6,57,114599
6,59,3782093
6,61,455017
6,63,20691
6,65,2571132
6,67,1718260
6,69,74220
6,71,2315275
6,73,3890271
6,75,1018709
6,77,833643
6,79,313538
6,81,939531
6,83,509926
6,85,2361082
6,87,317312
6,89,187037
6,91,2892
6,93,45983
6,95,507098
6,97,592048
6,99,605992
6,101,106484
6,103,64251
6,105,10413
6,107,507532
6,109,57262
6,111,1027743
6,113,221759
6,115,74804
8,1,548252
8,3,15639
8,5,712195
8,7,14620
8,9,3783
8,11,3830
8,13,357210
8,14,74674
8,15,21294
8,17,2087
8,19,9789
8,21,8089
8,23,3233
8,25,2732
8,27,4901
8,29,32208
8,31,726618
8,33,1977
8,35,395829
8,37,65194
8,39,28977
8,41,771762
8,43,42818
8,45,66077
8,47,5931
8,49,16258
8,51,17013
8,53,886
8,55,5979
8,57,1487
8,59,664628
8,61,1466
8,63,8274
8,65,7384
8,67,61063
8,69,383789
8,71,13846
8,73,5060
8,75,20378
8,77,166599
8,79,922
8,81,14100
8,83,28106
8,85,46424
8,87,32832
